emoji,name
<:gold_ship:1427257561802997841>,Gold Ship
<:haru_urara:1427257575996391497>,Haru Urara
<:kitasan_black:1427257395247185960>,Kitasan Black
<:oguri_cap:1427257240062132374>,Oguri Cap
<:satono_diamond:1427257543603781672>,Satono Diamond
<:special_week:1427257295812952164>,Special Week
<:tamamo_cross:1427257518538887240>,Tamamo Cross
<:tokai_teio:1427257361059414037>,Tokai Teio
<:stillinlove:1427956505730351225>,Still In Love
<:agnes_tachyon:1427983172741763316>,Agnes Tachyon
<:air_groove:1427983196682846350>,Air Groove
<:curren_chan:1427983221538426940>,Curren Chan
<:daiwa_scarlet:1427983238693130240>,Daiwa Scarlet
<:eishin_flash:1427983259324649513>,Eishin Flash
<:fuji_kiseki:1427983276697452584>,Fuji Kiseki
<:fine_motion:1427983288991088722>,Fine Motion
<:king_halo:1427983313108205619>,King Halo
<:grass_wonder:1427983328002310187>,Grass Wonder
<:manhattan_cafe:1427983346000072717>,Manhattan Cafe
<:mejiro_ardan:1427983358696095814>,Mejiro Ardan
<:mejiro_mcqueen:1427983386621771888>,Mejiro McQueen
<:mihono_bourbon:1427983413637550213>,Mihono Bourbon
<:narita_brian:1427983425435996241>,Narita Brian
<:narita_taishin:1427983438073430046>,Narita Taishin
<:sakura_chiyono_o:1427983458277523497>,Sakura Chiyono O
<:nice_nature:1427983486517776436>,Nice Nature
<:tm_opera_o:1427983512358621184>,TM Opera O
<:symboli_rudolf:1427983536350302362>,Symboli Rudolf
<:vodka:1427983555677655120>,Vodka
<:yaeno_muteki:1427983571154632796>,Yaeno Muteki
<:silence_suzuka:1427983590502826066>,Silence Suzuka
<:seiun_sky:1427983600560771073>,Seiun Sky
<:rice_shower:1427983614485987448>,Rice Shower
<:sakura_bakushin_o:1427983625231798274>,Sakura Bakushin O
<:mayano_top_gun:1428723091776864276>,Mayano Top Gun
